NCBI

100032
100033
100226
1002367
1003195
1004507
1004520
1005443
1005722
100756
100883
101201
1016
1018
1019
102106
102115
102116
1027292
1028384
1032505
103377
103381
1033978
1036758
1036764
1036789
103690
1038014
103816
103887
104
104087
1041
104202
1042323
104235
104236
104259
104264
104366
104397
1046378
1047140
1050198
1050199
1052105
1054213
105591
105696
105841
106263
1071704
1073351
1073354
1073355
1073356
1073357
1073358
1073363
1073364
1073365
1073366
1073368
1073369
1073372
1073373
1073374
1073376
1073531
107453
1076256
1078085
107856
1078764
107919
1079985
1081613
1088720
108922
1093204
1093899
1095733
109637
109790
1105031
110564
110618
1107316
1108812
1109665
1111111
1111112
1111133
1111134
1111454
1111949
1111950
1115805
1117
111782
1118
112040
1121098
1121101
1121114
1121121
112177
112178
1121890
112252
1123
1124
112419
112420
112423
112424
112429
1125
1125693
1125694
1125718
1125724
1126
1128912
1129
113037
113069
1130723
113085
113088
1131320
1131492
1131624
1131642
1132468
1134591
1134602
1134687
1134785
1134804
1134811
1134817
1134820
1134822
1134827
1136416
1136417
1136419
1136420
1136424
1136425
1136426
1136427
1136428
1136429
1136430
1136431
1136432
1136433
1136748
1137247
1137248
1137249
1137250
1137251
1137252
1137253
1137254
1137255
1137256
1137257
1137258
1137260
1137261
1137262
1137263
1137264
1137265
1137266
1137269
1137270
1137780
1140
1142
114230
114231
1143261
1144308
1144311
1144319
1144321
1144322
1144324
1144325
1144326
1144327
1144328
1144330
1144332
1144334
1144335
1144336
1144337
1144338
1144339
1144929
1144930
1148
1149863
1150
1150298
1150382
1150423
1150461
1150612
1150632
1151464
1155738
1155739
115784
1158
1158629
1161
1161409
1161413
1161414
1161415
1161416
1161743
1161744
1161745
1161904
1162
1163398
1163405
1164882
1167592
1169154
1169155
1169156
1169157
1169158
1169159
1169160
1169161
1169162
1169163
1169164
1169165
1169166
1169167
1169168
1169169
1169170
1169171
1169172
1169173
1169174
1169175
1169176
1169177
1169178
1169179
1169180
1169181
1169182
1169184
1169185
1169186
1169188
1169189
1169190
1169191
1169192
1169193
1169195
1169196
1169197
1169198
116978
1169964
117017
117019
117024
1170562
1173061
1173263
1177
117743
117747
1178833
1179
118041
1181
118163
1182
118259
118323
1184
1185
1186
1187133
118964
1190
119042
119060
1190621
1191312
1195526
1196081
1196835
119859
1199091
119927
1202974
1203
1203540
1203544
1203545
1203546
1203549
1203550
1203554
1203578
1204474
1204475
1204476
1206101
1206102
1208924
120955
1213720
1215108
121612
1217839
1218
1219
1219360
122355
1224
1224307
1226325
1227262
1227275
1233474
1235814
1236
1238390
1239
1243
1246
1247546
1249
1250001
125216
1255046
1255596
1257
1260
1260783
1260784
1260918
1261
1261057
1261058
1261059
1261060
1261061
1261062
1261063
1261064
1261065
1261066
1261067
1261068
1261070
1261071
1261072
1263
1263492
1264872
1265
1266744
1268
1269
1270
1271
1274351
1276655
1279
1280
128142
1282
1283
128403
128442
1285933
1285934
1286
1287474
1287476
1288079
1288080
1288081
1288082
1288083
1288084
1288085
1288086
1288087
1288090
1289387
1290
12916
1292
1296
1296375
