Taxa_NCBI,domain,kingdom,phylum,class,order,family,genus,subgenus,species,subspecies,varietas,forma
2984678,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Elaeodendron,NA,Elaeodendron schweinfurthianum,NA,NA,NA
4307,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Euonymus,NA,Euonymus alatus,NA,NA,NA
482937,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Euonymus,NA,Euonymus atropurpureus,NA,NA,NA
1442714,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Euonymus,NA,Euonymus bockii,NA,NA,NA
1489648,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Euonymus,NA,Euonymus cochinchinensis,NA,NA,NA
1442717,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Euonymus,NA,Euonymus dielsianus,NA,NA,NA
255352,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Euonymus,NA,Euonymus fortunei,NA,NA,NA
1442720,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Euonymus,NA,Euonymus frigidus,NA,NA,NA
1089395,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Euonymus,NA,Euonymus grandiflorus,NA,NA,NA
4309,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Euonymus,NA,Euonymus maackii,NA,NA,NA
1008910,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Euonymus,NA,Euonymus myrianthus,NA,NA,NA
1442727,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Euonymus,NA,Euonymus sanguineus,NA,NA,NA
4306,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Euonymus,NA,NA,NA,NA,NA
1312050,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Evonymopsis,NA,NA,NA,NA,NA
379240,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Gymnosporia,NA,Gymnosporia buxifolia,NA,NA,NA
2859579,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Gymnosporia,NA,Gymnosporia graciliramula,NA,NA,NA
123423,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Gymnosporia,NA,NA,NA,NA,NA
1603813,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Loeseneriella,NA,Loeseneriella concinna,NA,NA,NA
1009579,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Loeseneriella,NA,Loeseneriella urceolus,NA,NA,NA
1186159,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Maytenus,NA,Maytenus guyanensis,NA,NA,NA
123432,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Maytenus,NA,Maytenus undata,NA,NA,NA
123430,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Maytenus,NA,NA,NA,NA,NA
490007,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Monteverdia,NA,Monteverdia floribunda,NA,NA,NA
1081520,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Monteverdia,NA,Monteverdia ilicifolia,NA,NA,NA
38862,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Parnassia,NA,Parnassia palustris,NA,NA,NA
1906730,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Pleurostylia,NA,Pleurostylia africana,NA,NA,NA
1906731,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Pleurostylia,NA,Pleurostylia pachyphloea,NA,NA,NA
123465,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Pristimera,NA,Pristimera indica,NA,NA,NA
123463,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Reissantia,NA,NA,NA,NA,NA
1009589,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Salacia,NA,Salacia chinensis,NA,NA,NA
123469,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Salacia,NA,Salacia impressifolia,NA,NA,NA
4319,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Salacia,NA,NA,NA,NA,NA
670378,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Salacighia,NA,Salacighia letestuana,NA,NA,NA
205465,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Tripterygium,NA,Tripterygium hypoglaucum,NA,NA,NA
458696,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Tripterygium,NA,Tripterygium wilfordii,NA,NA,NA
4428,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ceratophyllales,Ceratophyllaceae,Ceratophyllum,NA,Ceratophyllum demersum,NA,NA,NA
131138,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Chloranthales,Chloranthaceae,Chloranthus,NA,Chloranthus holostegius,NA,NA,NA
502752,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Chloranthales,Chloranthaceae,Hedyosmum,NA,Hedyosmum cuatrecazanum,NA,NA,NA
1087743,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Chloranthales,Chloranthaceae,Hedyosmum,NA,Hedyosmum lechleri,NA,NA,NA
502757,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Chloranthales,Chloranthaceae,Hedyosmum,NA,Hedyosmum racemosum,NA,NA,NA
502759,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Chloranthales,Chloranthaceae,Hedyosmum,NA,Hedyosmum scabrum,NA,NA,NA
168063,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Commelinales,Commelinaceae,Cochliostema,NA,Cochliostema odoratissimum,NA,NA,NA
428226,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Commelinales,Commelinaceae,Commelina,NA,Commelina diffusa,NA,NA,NA
168083,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Commelinales,Commelinaceae,Siderasis,NA,Siderasis fuscata,NA,NA,NA
255331,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Commelinales,Commelinaceae,Tradescantia,NA,Tradescantia fluminensis,NA,NA,NA
77340,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Commelinales,Commelinaceae,Tradescantia,NA,Tradescantia ohiensis,NA,NA,NA
59015,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Commelinales,Commelinaceae,Tradescantia,NA,Tradescantia pallida,NA,NA,NA
428268,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Commelinales,Commelinaceae,Tradescantia,NA,Tradescantia spathacea,NA,NA,NA
59016,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Commelinales,Commelinaceae,Tradescantia,NA,Tradescantia virginiana,NA,NA,NA
34175,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Commelinales,Commelinaceae,Tradescantia,NA,Tradescantia zebrina,NA,NA,NA
4741,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Commelinales,Commelinaceae,Tradescantia,NA,NA,NA,NA,NA
524053,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Commelinales,Haemodoraceae,Anigozanthos,NA,Anigozanthos viridis,NA,NA,NA
44962,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Commelinales,Pontederiaceae,Heteranthera,NA,Heteranthera zosterifolia,NA,NA,NA
44970,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Commelinales,Pontederiaceae,Pontederia,Pontederia subgen. Monochoria,Pontederia hastata,NA,NA,NA
16902,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,NA,Cornus alternifolia,NA,NA,NA
366638,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,NA,Cornus amomum,NA,NA,NA
367342,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,NA,Cornus drummondii,NA,NA,NA
2029227,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,NA,Cornus florida,NA,NA,Cornus florida f. rubra
4283,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,NA,Cornus florida,NA,NA,NA
4285,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,NA,Cornus mas,NA,NA,NA
60120,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,NA,Cornus nuttallii,NA,NA,NA
16906,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,NA,Cornus officinalis,NA,NA,NA
367354,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,NA,Cornus sanguinea,NA,NA,NA
152289,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cornales,Hydrangeaceae,Hydrangea,NA,Hydrangea anomala,NA,NA,NA
23110,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cornales,Hydrangeaceae,Hydrangea,NA,Hydrangea macrophylla,NA,NA,NA
60124,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cornales,Hydrangeaceae,Hydrangea,NA,Hydrangea quercifolia,NA,NA,NA
1632115,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cornales,Hydrangeaceae,Hydrangea,NA,Hydrangea robusta,NA,NA,NA
561372,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cornales,Nyssaceae,Nyssa,NA,Nyssa sinensis,NA,NA,NA
4292,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cornales,Nyssaceae,Nyssa,NA,Nyssa sylvatica,NA,NA,NA
85277,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Crossosomatales,Stachyuraceae,Stachyurus,NA,Stachyurus praecox,NA,NA,NA
85280,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Crossosomatales,Staphyleaceae,Staphylea,NA,Staphylea trifolia,NA,NA,NA
99386,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,NA,Begonia palmata,NA,NA,NA
3681,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,NA,NA,NA,NA,NA
102211,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Benincasa,NA,Benincasa hispida,NA,NA,NA
3652,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Bryonia,NA,Bryonia cretica,Bryonia cretica subsp. dioica,NA,NA
252529,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Citrullus,NA,Citrullus colocynthis,NA,NA,NA
3654,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Citrullus,NA,Citrullus lanatus,NA,NA,NA
3653,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Citrullus,NA,NA,NA,NA,NA
387127,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Coccinia,NA,Coccinia grandis,NA,NA,NA
1194695,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucumis,NA,Cucumis melo,Cucumis melo subsp. agrestis,Cucumis melo var. makuwa,NA
3656,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucumis,NA,Cucumis melo,NA,NA,NA
3659,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucumis,NA,Cucumis sativus,NA,NA,NA
3655,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucumis,NA,NA,NA,NA,NA
1094858,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,NA,Cucurbita argyrosperma,Cucurbita argyrosperma subsp. argyrosperma,NA,NA
37648,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,NA,Cucurbita argyrosperma,Cucurbita argyrosperma subsp. sororia,NA,NA
34294,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,NA,Cucurbita argyrosperma,NA,NA,NA
3661,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,NA,Cucurbita maxima,NA,NA,NA
184141,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,NA,Cucurbita melopepo,Cucurbita melopepo subsp. melopepo,NA,NA
3662,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,NA,Cucurbita moschata,NA,NA,NA
3664,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,NA,Cucurbita pepo,Cucurbita pepo subsp. pepo,NA,NA
3663,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,NA,Cucurbita pepo,NA,NA,NA
3660,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,NA,NA,NA,NA,NA
182084,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gynostemma,NA,Gynostemma pentaphyllum,NA,NA,NA
2041849,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gynostemma,NA,Gynostemma pubescens,NA,NA,NA
2184935,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Hodgsonia,NA,Hodgsonia macrocarpa,NA,NA,NA
3668,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Lagenaria,NA,Lagenaria siceraria,NA,NA,NA
56866,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Luffa,NA,Luffa acutangula,NA,NA,NA
3670,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Luffa,NA,Luffa aegyptiaca,NA,NA,NA
388295,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Luffa,NA,Luffa operculata,NA,NA,NA
886970,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Melothria,NA,Melothria scabra,NA,NA,NA
3673,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Momordica,NA,Momordica charantia,NA,NA,NA
3674,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Momordica,NA,Momordica cochinchinensis,NA,NA,NA
714502,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Solena,NA,Solena amplexicaulis,NA,NA,NA
50543,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Trichosanthes,NA,Trichosanthes cucumerina,NA,NA,NA
1054458,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Trichosanthes,NA,Trichosanthes dunniana,NA,NA,NA
3677,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Trichosanthes,NA,Trichosanthes kirilowii,NA,NA,NA
676073,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Trichosanthes,NA,Trichosanthes rosthornii,NA,NA,NA
85297,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Xerosicyos,NA,Xerosicyos danguyi,NA,NA,NA
515877,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Xerosicyos,NA,Xerosicyos perrieri,NA,NA,NA
388302,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Xerosicyos,NA,Xerosicyos pubescens,NA,NA,NA
640652,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dilleniales,Dilleniaceae,Dillenia,NA,Dillenia hookeri,NA,NA,NA
4378,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dilleniales,Dilleniaceae,Dillenia,NA,Dillenia indica,NA,NA,NA
1747696,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dilleniales,Dilleniaceae,Dillenia,NA,Dillenia obovata,NA,NA,NA
1747698,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dilleniales,Dilleniaceae,Dillenia,NA,Dillenia pentagyna,NA,NA,NA
169244,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dilleniales,Dilleniaceae,Dillenia,NA,Dillenia philippinensis,NA,NA,NA
1489826,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dilleniales,Dilleniaceae,Tetracera,NA,Tetracera indica,NA,NA,NA
55634,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dioscoreales,Dioscoreaceae,Dioscorea,NA,Dioscorea communis,NA,NA,NA
167587,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dioscoreales,Dioscoreaceae,Dioscorea,NA,Dioscorea hispida,NA,NA,NA
55575,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dioscoreales,Dioscoreaceae,Dioscorea,NA,Dioscorea polystachya,NA,NA,NA
64475,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dioscoreales,Dioscoreaceae,Dioscorea,NA,Dioscorea tokoro,NA,NA,NA
4672,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dioscoreales,Dioscoreaceae,Dioscorea,NA,NA,NA,NA,NA
479629,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dioscoreales,Nartheciaceae,Narthecium,NA,Narthecium californicum,NA,NA,NA
57203,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus,NA,Sambucus adnata,NA,NA,NA
57008,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus,NA,Sambucus canadensis,NA,NA,NA
57009,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus,NA,Sambucus javanica,NA,NA,NA
4202,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus,NA,Sambucus nigra,NA,NA,NA
4203,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus,NA,Sambucus racemosa,NA,NA,NA
45463,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus,NA,Sambucus sieboldiana,NA,NA,NA
180062,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus,NA,Sambucus williamsii,NA,NA,NA
4205,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Adoxaceae,Viburnum,NA,Viburnum acerifolium,NA,NA,NA
432674,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Adoxaceae,Viburnum,NA,Viburnum brachybotryum,NA,NA,NA
237931,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Adoxaceae,Viburnum,NA,Viburnum cylindricum,NA,NA,NA
61589,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Adoxaceae,Viburnum,NA,Viburnum dentatum,NA,NA,NA
436500,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Adoxaceae,Viburnum,NA,Viburnum foetidum,NA,NA,NA
237945,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Adoxaceae,Viburnum,NA,Viburnum lantana,NA,NA,NA
85293,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Adoxaceae,Viburnum,NA,Viburnum opulus,NA,NA,NA
237954,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Adoxaceae,Viburnum,NA,Viburnum prunifolium,NA,NA,NA
237956,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Adoxaceae,Viburnum,NA,Viburnum rufidulum,NA,NA,NA
1444324,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Adoxaceae,Viburnum,NA,Viburnum sambucinum,NA,NA,NA
237959,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Adoxaceae,Viburnum,NA,Viburnum tinus,NA,NA,NA
180066,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Dipsacus,NA,Dipsacus asperoides,NA,NA,NA
1535420,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Dipsacus,NA,Dipsacus atropurpureus,NA,NA,NA
183561,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Dipsacus,NA,Dipsacus fullonum,NA,NA,NA
1113480,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Dipsacus,NA,Dipsacus inermis,NA,NA,NA
105271,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Knautia,NA,Knautia arvensis,NA,NA,NA
105884,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,NA,Lonicera japonica,NA,NA,NA
2867515,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,NA,Lonicera ligustrina,NA,Lonicera ligustrina var. pileata,NA
51255,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,NA,Lonicera maackii,NA,NA,NA
447676,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,NA,Lonicera tatarica,NA,NA,NA
439142,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,NA,Lonicera xylosteum,NA,NA,NA
49606,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,NA,NA,NA,NA,NA
180562,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Morina,NA,Morina longifolia,NA,NA,NA
179860,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Nardostachys,NA,Nardostachys jatamansi,NA,NA,NA
300888,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Patrinia,NA,Patrinia scabiosifolia,NA,NA,NA
180561,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Scabiosa,NA,Scabiosa columbaria,NA,NA,NA
183573,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Scabiosa,NA,Scabiosa japonica,NA,NA,NA
105906,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Succisa,NA,Succisa pratensis,NA,NA,NA
1887462,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Valeriana,NA,Valeriana dageletiana,NA,NA,NA
105907,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Valeriana,NA,Valeriana fauriei,NA,NA,NA
59170,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Valeriana,NA,Valeriana jatamansi,NA,NA,NA
19953,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Valeriana,NA,Valeriana officinalis,NA,NA,NA
79612,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Weigela,NA,Weigela florida,NA,NA,NA
1590841,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Actinidiaceae,Actinidia,NA,Actinidia chinensis,NA,Actinidia chinensis var. chinensis,NA
3625,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Actinidiaceae,Actinidia,NA,Actinidia chinensis,NA,NA,NA
3627,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Actinidiaceae,Actinidia,NA,Actinidia deliciosa,NA,NA,NA
204402,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Actinidiaceae,Actinidia,NA,Actinidia rubricaulis,NA,NA,NA
1821800,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Actinidiaceae,Saurauia,NA,Saurauia spectabilis,NA,NA,NA
252981,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,Impatiens subgen. Impatiens,Impatiens auricoma,NA,NA,NA
63779,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,Impatiens subgen. Impatiens,Impatiens balsamina,NA,NA,NA
2945238,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Clethraceae,Clethra,NA,Clethra cardenasii,NA,NA,NA
2945239,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Clethraceae,Clethra,NA,Clethra cuneata,NA,NA,NA
224287,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Clethraceae,Clethra,NA,Clethra ferruginea,NA,NA,NA
224283,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Clethraceae,Clethra,NA,Clethra peruviana,NA,NA,NA
224279,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Clethraceae,Clethra,NA,Clethra revoluta,NA,NA,NA
13434,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Clethraceae,Clethra,NA,NA,NA,NA,NA
55375,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Cyrillaceae,Cliftonia,NA,Cliftonia monophylla,NA,NA,NA
665996,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,NA,Diospyros cathayensis,NA,NA,NA
