filename,Category
P2_A5_656,Root > Personal Care > Cosmetics > Makeup > Eye Makeup > Mascara
P1_G7_211,Root > Personal Care > Cosmetics > Makeup > Face Makeup > Foundations & Concealers
P1_F6_102,Root > Personal Care > Cosmetics > Makeup > Face Makeup > Foundations & Concealers
P4_C6_676,Root > Personal Care > Cosmetics > Makeup > Face Makeup > Foundations & Concealers
P2_B8_574,Root > Personal Care > Cosmetics > Makeup > Face Makeup > Foundations & Concealers
P2_B11_599,Root > Personal Care > Cosmetics > Makeup > Face Makeup > Foundations & Concealers
P4_B10_717,Root > Personal Care > Cosmetics > Makeup > Face Makeup > Foundations & Concealers
P2_A3_687,Root > Personal Care > Cosmetics > Makeup > Lip balm
P2_A10_628,Root > Personal Care > Cosmetics > Makeup > Lip balm
P6_D10_404,Root > Personal Care > Cosmetics > Makeup > Lip balm
P4_D11_606,Root > Personal Care > Cosmetics > Makeup > Lip balm
P2_B4_538,Root > Personal Care > Cosmetics > Makeup > Lipgloss
P4_E2_607,Root > Personal Care > Cosmetics > Makeup > Lipgloss
P4_E8_608,Root > Personal Care > Cosmetics > Makeup > Lipgloss
P4_B9_681,Root > Personal Care > Cosmetics > Makeup > Lipstick
P4_A8_659,Root > Personal Care > Cosmetics > Makeup > Lipstick
P2_A8_660,Root > Personal Care > Cosmetics > Makeup > Lipstick
P4_C4_686,Root > Personal Care > Cosmetics > Makeup > Lipstick
P4_C9_708,Root > Personal Care > Cosmetics > Makeup > Lipstick
P4_C2_695,Root > Personal Care > Cosmetics > Makeup > Lipstick
P4_C3_673,Root > Personal Care > Cosmetics > Makeup > Lipstick
P2_D12_704,Root > Personal Care > Cosmetics > Makeup > Lipstick
P4_D8_558,Root > Personal Care > Cosmetics > Nail Care > Nail Polish
P1_D1_505,Root > Personal Care > Cosmetics > Perfume & Cologne
P5_A2_162,Root > Personal Care > Cosmetics > Perfume & Cologne
P5_E2_237,Root > Personal Care > Cosmetics > Perfume & Cologne
P5_A12_310,Root > Personal Care > Cosmetics > Perfume & Cologne
P2_D2_557,Root > Personal Care > Cosmetics > Perfume & Cologne
P2_D4_593,Root > Personal Care > Cosmetics > Perfume & Cologne
P2_E5_627,Root > Personal Care > Cosmetics > Perfume & Cologne
P2_C11_578,Root > Personal Care > Cosmetics > Perfume & Cologne
P2_D11_577,Root > Personal Care > Cosmetics > Perfume & Cologne
P2_E9_581,Root > Personal Care > Cosmetics > Perfume & Cologne
P2_E6_542,Root > Personal Care > Cosmetics > Perfume & Cologne
P2_F4_707,Root > Personal Care > Cosmetics > Perfume & Cologne
P2_F5_710,Root > Personal Care > Cosmetics > Perfume & Cologne
P2_E7_625,Root > Personal Care > Cosmetics > Perfume & Cologne
P2_D9_535_555,Root > Personal Care > Cosmetics > Perfume & Cologne
P1_C8_495,Root > Personal Care > Cosmetics > Skin Care
P7_B10_612,Root > Personal Care > Cosmetics > Skin Care
P1_E4_494,Root > Personal Care > Cosmetics > Skin Care
P4_D1_425,Root > Personal Care > Cosmetics > Skin Care
P1_C11_489,Root > Personal Care > Cosmetics > Skin Care
P5_C12_197,Root > Personal Care > Cosmetics > Skin Care
P5_B7_304,Root > Personal Care > Cosmetics > Skin Care
P3_B12_106,Root > Personal Care > Cosmetics > Skin Care
P3_C1_114,Root > Personal Care > Cosmetics > Skin Care
P6_B3_247,Root > Personal Care > Cosmetics > Skin Care > After sun lotion
P6_B7_246,Root > Personal Care > Cosmetics > Skin Care > After sun lotion
P4_D12_602,Root > Personal Care > Cosmetics > Skin Care > After sun lotion
P1_A8_517,Root > Personal Care > Cosmetics > Skin Care > Exfoliant
P1_A6_515,Root > Personal Care > Cosmetics > Skin Care > Exfoliant
P3_E12_133,Root > Personal Care > Cosmetics > Skin Care > Exfoliant
P7_E12_696,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P7_G6_10,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P5_A9_137,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P5_D9_32,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P5_A11_296,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P1_H1_118,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P1_A12_551,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P1_A10_519,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P5_E9_282,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P7_E11_665,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P4_A9_653,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P4_B8_712,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P4_B4_657,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P4_E4_604,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P5_D10_34,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P6_B2_237,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P3_D2_241,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P3_B10_92,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P5_D2_196,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P6_B6_48,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P6_C12_96,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P1_A9_518,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P1_A11_529,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P6_D6_154,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P1_F11_204,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P5_B12_312,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P5_B3_294,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P3_F1_53,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P6_D8_221,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P1_E7_488,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P1_C10_481,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P1_E5_500,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P5_D3_185,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P4_B3_718,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser
P7_G12_716,Root > Personal Care > Cosmetics > Skin Care > Fluid > Anti Aging
P2_A6_691,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P2_E1_584,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P4_C12_421,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P4_D2_444,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P6_D12_417,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P1_G4_194_20240523133719,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P7_F4_14,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P1_H3_128,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P3_C8_354,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P3_C7_353,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P6_D7_200,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P4_C10_416,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P7_D9_751,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P2_D3_690,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P2_E2_544,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P2_E3_590,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P2_C10_533,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P2_C3_683,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P2_C1_688,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P2_A7_571,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P4_C1_672,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P7_G8_702,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P2_B5_675,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P7_E4_11,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P4_A6_371,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P3_E1_567,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P2_D7_580,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P7_G7_16,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P7_D4_753,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P7_D6_694,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P7_F6_651,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P5_C4_313,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P6_C2_108,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P1_D3_507,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P3_F9_247,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P5_C7_208,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P1_D9_498,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P1_D8_484,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P3_F3_52,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P1_F9_94,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P7_D1_245,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P1_G2_159,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P5_A10_138,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P7_E7_729,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P2_F3_575,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P7_F2_679,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P3_E7_562,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P7_F10_661,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P7_F12_663,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P2_F2_545,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P7_F11_682,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P7_G10_664,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P7_D2_750,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P7_F7_684,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P7_G11_650,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P7_G9_697,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P2_E4_530,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P7_G1_752,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P1_B6_526,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P6_A8_276,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
