Compound,USI
Ala-C12:0,mzspec:GNPSTASK-1eb0a498034d46adbca6048b4d2d3b7e:emgentry/Combinatorial Reactions/amidation mzXMLs/amidation_C12_0_BA11_01_63083.mzXML:scan:1478
amyl amine-C18:1,mzspec:GNPSTASK-1eb0a498034d46adbca6048b4d2d3b7e:emgentry/Combinatorial Reactions/amidation mzXMLs/amidation_C18_1_BC9_01_63109.mzXML:scan:2138
