,NCBI
589,136224
590,13625
591,13637
592,13650
593,13663
594,13665
595,13667
596,136676
597,13668
598,13669
599,13673
600,1367315
601,13695
602,13699
603,1370061
604,13707
605,137178
606,137220
607,137221
608,137227
609,13728
610,137301
611,137456
612,137457
613,13749
614,13750
615,13753
616,13757
617,137670
618,137693
619,137801
620,13798
621,138141
622,138163
623,138164
624,13819
625,1381998
626,1382013
627,13823
628,1382323
629,13824
630,138526
631,138557
632,138873
633,13893
634,13894
635,1390085
636,139014
637,139037
638,1392118
639,139222
640,139271
641,139272
642,1395544
643,139771
644,139928
645,1399737
646,1401403
647,14026
648,14027
649,140311
650,140419
651,140997
652,14101
653,1412886
654,141330
655,141331
656,14146
657,141488
658,141490
659,141524
660,141544
661,141545
662,141564
663,141565
664,141568
665,141584
666,141590
667,141591
668,141599
669,141600
670,141614
671,141953
672,1419888
673,1419973
674,1419975
675,1419977
676,1420003
677,1420078
678,1420089
679,1421726
680,142183
681,142579
682,142614
683,142860
684,1428765
685,1428766
686,143051
687,1433329
688,1433379
689,14366
690,1437180
691,1437183
692,1437197
693,1437201
694,1441374
695,1441791
696,1441986
697,1442714
698,1442717
699,1442720
700,1442727
701,1442760
702,1444324
703,1445966
704,1446378
705,1446379
706,1446380
707,1450208
708,1454532
709,145674
710,145675
711,145694
712,145744
713,145745
714,145754
715,145816
716,145848
717,1461171
718,1461172
719,1461173
720,1461176
721,1461198
722,1461552
723,1462606
724,1462614
725,1463137
726,1463138
727,1463147
728,1465290
729,146530
730,1465361
731,146545
732,146995
733,147003
734,1472300
735,1472305
736,1472306
737,1472311
738,147243
739,1472648
740,147271
741,1473222
742,147366
743,147368
744,147369
745,147370
746,147371
747,147380
748,147387
749,147389
750,147428
751,147429
752,1475013
753,1475368
754,1475409
755,147945
756,1481450
757,1484106
758,148567
759,148569
760,148670
761,148671
762,148673
763,148695
764,148717
765,148719
766,148720
767,148725
768,148726
769,148729
770,1487832
771,148897
772,1489448
773,1489450
774,1489463
775,1489464
776,1489466
777,1489482
778,1489631
779,1489648
780,1489652
781,1489665
782,1489667
783,1489672
784,1489748
785,1489749
786,1489751
787,1489754
788,1489822
789,1489826
790,1489957
791,1489963
792,1489967
793,149356
794,149357
795,149371
796,149423
797,149425
798,149627
799,149628
800,149664
801,149674
802,1498428
803,1498447
804,1498448
805,1498449
806,1498450
807,1498454
808,1498468
809,1498475
810,14999
811,15000
812,1501231
813,1501554
814,1503867
815,1504218
816,1506269
817,151065
818,151068
819,151069
820,15114
821,151233
822,15141
823,151559
824,15170
825,151785
826,151786
827,151787
828,151789
829,151794
830,151796
831,151797
832,151798
833,151800
834,151808
835,151816
836,151817
837,151824
838,151825
839,151829
840,151830
841,151831
842,151833
843,151834
844,151835
845,151838
846,151842
847,151848
848,151851
849,151854
850,151855
851,151856
852,151857
853,151862
854,151863
855,151868
856,151869
857,151874
858,151876
859,151877
860,151880
861,151881
862,151882
863,151883
864,151890
865,151891
866,1521260
867,1521262
868,1521447
869,152358
870,152362
871,152363
872,152390
873,1524318
874,152432
875,1525719
876,1529617
877,1531353
878,1531356
879,1532000
880,1532346
881,153459
882,153546
883,153581
884,153742
885,15376
886,1538097
887,153845
888,153950
889,154422
890,154466
891,154467
892,1544672
893,154480
894,154494
895,1548133
896,1548629
897,154988
898,154990
899,155017
900,155136
901,155228
902,155231
903,155295
904,155635
905,155637
906,155638
907,155640
908,155891
909,1561073
910,1561080
911,1561394
912,156152
913,1561735
914,1561738
915,1561740
916,1561743
917,1561744
918,1561745
919,1561750
920,1561751
921,1561753
922,1561762
923,1561763
924,1561775
925,1561795
926,1561815
927,1561816
928,1561826
929,1561831
930,15623
931,156240
932,1563254
933,1563258
934,156472
935,156476
936,156481
937,156482
938,156483
939,156484
940,156491
941,1569007
942,1570894
943,1570985
944,1571642
945,1573921
946,15740
947,157443
948,15745
949,15747
950,157519
951,157652
952,1577077
953,1577575
954,1577576
955,157791
956,157914
957,1582321
958,158324
959,1583283
960,1583293
961,1583299
962,158332
963,158389
964,158406
965,158524
966,158538
967,158541
968,1585427
969,158573
970,158927
971,158928
972,1589817
973,1589896
974,159030
975,159033
976,159038
977,159053
978,159058
979,1592028
980,1592029
981,1592051
982,1592062
983,1593063
984,159421
985,159425
986,15949
987,15956
988,15957
989,159666
990,159976
991,160066
992,1603663
993,1603695
994,1603722
995,1603813
996,1603822
997,16046
998,16048
999,16049
1000,160511
1001,16053
1002,16055
1003,1609961
1004,1609962
1005,161027
1006,161028
1007,16107
1008,1612336
1009,161395
1010,16150
1011,1616486
1012,161755
1013,161756
1014,161934
1015,1619497
1016,16195
1017,1620028
1018,1620053
1019,1620951
1020,1621222
1021,1621223
1022,162640
1023,162643
1024,162709
1025,162716
1026,162718
1027,162768
1028,162769
1029,162772
1030,162792
1031,162809
1032,162887
1033,162888
1034,16300
1035,163092
1036,163093
1037,1633205
1038,1633398
1039,1633950
1040,1634506
1041,163485
1042,163486
1043,163487
1044,1635308
1045,16360
1046,16367
1047,163718
1048,16372
1049,163725
1050,163726
1051,163728
1052,163729
1053,163733
1054,163735
1055,163737
1056,163739
1057,163742
1058,163743
1059,163745
1060,163747
1061,16376
1062,1639865
1063,16399
1064,1640437
1065,1640457
1066,1640458
1067,1640478
1068,164241
1069,164405
1070,1648004
1071,1648017
1072,1648021
1073,1648033
1074,1648034
1075,1648035
1076,1648036
1077,1648037
1078,1648038
1079,164925
1080,164936
1081,164986
1082,1651117
1083,1651205
1084,1652080
