,NCBI
2341,26958
2342,26963
2343,2698496
2344,270267
2345,2704054
2346,2706
2347,27065
2348,2708
2349,2708174
2350,2708425
2351,2708920
2352,2708984
2353,2709
2354,2711
2355,271192
2356,271229
2357,271242
2358,271254
2359,271556
2360,271790
2361,27223
2362,27228
2363,2724783
2364,2724786
2365,2724787
2366,2724789
2367,2724790
2368,27254
2369,27257
2370,2725880
2371,272673
2372,2732585
2373,273621
2374,2736914
2375,2736915
2376,2736927
2377,273783
2378,273784
2379,273800
2380,2743462
2381,2746503
2382,2746968
2383,2753859
2384,2759
2385,2759858
2386,2762152
2387,2763534
2388,276781
2389,2768810
2390,2771404
2391,2777055
2392,2777731
2393,277990
2394,278672
2395,278673
2396,279240
2397,2793474
2398,279737
2399,2799819
2400,280013
2401,280014
2402,280048
2403,2801115
2404,2803977
2405,2805010
2406,280577
2407,2806839
2408,280748
2409,281083
2410,281395
2411,2815114
2412,2818046
2413,2821351
2414,282214
2415,282717
2416,282719
2417,282743
2418,283089
2419,283101
2420,283104
2421,283112
2422,283210
2423,2834525
2424,2835904
2425,2836338
2426,2836339
2427,2836346
2428,2841342
2429,2841735
2430,2843217
2431,284492
2432,284552
2433,284555
2434,28470
2435,2849020
2436,2849586
2437,28502
2438,28509
2439,28511
2440,28513
2441,28516
2442,2851910
2443,2851915
2444,28525
2445,28526
2446,28543
2447,28545
2448,285591
2449,285825
2450,2859579
2451,286192
2452,2873755
2453,2874636
2454,287593
2455,287721
2456,2884811
2457,288835
2458,288953
2459,28908
2460,2892480
2461,28930
2462,2893860
2463,2895326
2464,2896040
2465,289630
2466,289640
2467,289642
2468,289652
2469,289665
2470,289672
2471,289730
2472,289731
2473,28974
2474,289751
2475,289774
2476,289800
2477,289864
2478,290845
2479,290976
2480,290980
2481,290983
2482,290995
2483,290996
2484,2909989
2485,2909991
2486,291018
2487,2911697
2488,291211
2489,2915486
2490,2915487
2491,2915488
2492,292001
2493,292393
2494,292646
2495,292647
2496,292682
2497,293478
2498,293507
2499,293508
2500,294000
2501,294142
2502,294156
2503,294170
2504,294171
2505,294377
2506,2945238
2507,2945239
2508,2945380
2509,294733
2510,295145
2511,295159
2512,295183
2513,2952425
2514,2956716
2515,29585
2516,29587
2517,29588
2518,29600
2519,29601
2520,296034
2521,296036
2522,296042
2523,29607
2524,29614
2525,29615
2526,29655
2527,29656
2528,2966546
2529,29683
2530,296848
2531,296862
2532,29695
2533,29728
2534,29729
2535,29740
2536,29760
2537,2976026
2538,29780
2539,29797
2540,29800
2541,29802
2542,29811
2543,298313
2544,2983453
2545,298346
2546,2984678
2547,298518
2548,298520
2549,298523
2550,298527
2551,298535
2552,298643
2553,298683
2554,2986939
2555,2991844
2556,300208
2557,300888
2558,300943
2559,300974
2560,300977
2561,300995
2562,301346
2563,301453
2564,301454
2565,3015646
2566,3015664
2567,301877
2568,301914
2569,3026370
2570,3029464
2571,3029465
2572,303142
2573,303144
2574,3046967
2575,3054905
2576,3054907
2577,3054909
2578,3054911
2579,306515
2580,306916
2581,3069367
2582,306960
2583,306991
2584,307165
2585,307724
2586,309270
2587,309271
2588,309276
2589,309283
2590,309290
2591,309429
2592,309431
2593,309432
2594,309979
2595,310425
2596,311405
2597,312423
2598,312531
2599,312566
2600,312836
2601,313120
2602,313513
2603,313936
2604,313966
2605,313968
2606,314340
2607,314416
2608,316257
2609,316491
2610,316508
2611,316640
2612,316698
2613,316700
2614,316701
2615,316706
2616,316728
2617,316729
2618,316745
2619,316746
2620,316757
2621,316758
2622,316845
2623,316855
2624,316905
2625,316916
2626,316917
2627,318058
2628,318061
2629,318062
2630,318066
2631,318068
2632,318969
2633,318970
2634,318982
2635,3193
2636,3195
2637,319561
2638,319571
2639,3196
2640,319607
2641,3197
2642,3199
2643,3201
2644,3202
2645,320344
2646,320345
2647,32071
2648,32072
2649,32079
2650,32084
2651,32100
2652,32101
2653,3214
2654,32151
2655,32152
2656,321593
2657,321607
2658,32186
2659,32187
2660,32189
2661,32194
2662,32201
2663,32202
2664,32218
2665,32219
2666,32220
2667,32221
2668,32228
2669,32230
2670,32239
2671,32247
2672,32258
2673,323033
2674,323067
2675,323115
2676,3237
2677,3238
2678,3239
2679,3240
2680,3244
2681,3245
2682,324555
2683,324593
2684,3246
2685,324794
2686,324795
2687,324797
2688,3249
2689,3250
2690,3251
2691,3252
2692,325284
2693,325289
2694,325294
2695,3255
2696,3256
2697,3257
2698,3258
2699,3262
2700,3268
2701,326854
2702,3269
2703,326968
2704,3270
2705,3271
2706,3275
2707,3278
2708,328098
2709,328401
2710,3287
2711,328752
2712,328781
2713,328782
2714,3289
2715,329212
2716,3296
2717,3297
2718,3298
2719,3299
2720,3300
2721,330177
2722,3303
2723,3304
2724,3308
2725,330892
2726,3309
2727,33090
2728,3310
2729,3311
2730,33113
2731,33118
2732,33119
2733,33120
2734,33125
2735,33127
2736,33128
2737,3313
2738,3315
2739,33152
2740,3316
2741,3317
2742,3318
2743,3319
2744,332435
2745,3325
2746,3326
2747,3328
2748,3329
2749,3330
2750,3331
2751,3334
2752,3335
2753,3337
2754,334249
2755,3344
2756,334483
2757,334663
2758,334676
2759,334689
2760,3348
2761,3349
2762,335179
2763,3352
2764,3353
2765,3356
2766,3357
2767,3358
2768,3359
2769,3362
2770,3363
2771,3367
2772,3372
2773,3374
2774,3375
2775,3376
2776,3377
2777,3378
2778,3379
2779,3380
2780,338494
2781,3385
2782,338571
2783,3386
2784,3387
2785,3389
2786,339321
2787,3394
2788,3395
2789,3397
2790,3398
2791,3400
2792,3401
2793,3402
2794,340443
2795,340444
2796,340636
2797,341012
2798,341013
2799,3413
2800,3415
2801,34165
2802,3417
2803,34175
2804,34193
2805,34199
2806,34203
2807,34205
2808,3421
2809,3424
2810,3425
2811,34253
2812,34254
2813,34256
2814,3426
2815,34268
2816,34274
2817,34316
2818,3432
2819,34329
2820,3433
2821,3434
2822,34340
2823,3435
2824,3440
2825,344080
2826,3441
2827,3442
2828,344832
2829,344861
2830,3450
2831,3451
2832,345108
2833,345151
2834,3452
2835,345239
2836,3455
2837,345802
2838,345807
2839,345808
2840,345815
2841,345817
2842,3462
2843,3463
2844,346403
2845,3465
2846,3466
2847,3467
2848,3468
2849,3469
2850,346985
2851,346999
2852,347388
2853,3474
2854,3481
2855,348168
2856,3482
2857,3483
2858,3484
2859,348477
2860,3485
2861,3486
2862,3487
2863,3488
2864,3489
2865,3493
2866,3494
2867,3495
2868,349509
2869,3497
2870,3498
2871,3499
2872,3500
2873,3501
2874,3502
2875,3503
2876,3504
2877,3507
2878,3511
2879,3512
2880,3513
2881,351340
2882,3514
2883,3515
2884,3518
2885,352190
2886,3524
2887,3525
2888,3526
2889,3527
2890,3528
2891,3532
2892,3533
2893,3536
2894,353920
2895,353936
2896,353968
2897,3540
2898,354074
2899,3542
2900,3543
2901,354493
2902,354501
2903,354519
2904,354523
2905,354524
2906,354526
2907,354529
2908,354530
2909,354624
2910,35493
2911,3550
2912,355332
2913,3554
2914,3555
2915,355589
2916,3558
2917,355937
2918,35608
2919,3561
2920,3562
2921,35625
2922,356268
2923,356269
2924,35627
2925,3563
2926,3564
2927,3568
2928,3569
2929,357089
2930,357094
2931,357095
2932,3571
2933,35711
2934,3572
2935,3573
2936,357845
2937,357850
2938,3579
2939,3581
2940,3582
2941,3584
2942,3585
2943,3586
2944,35883
2945,35899
2946,3590
2947,35916
2948,359160
2949,35922
2950,35924
2951,35925
2952,3593
2953,35932
2954,35933
2955,35936
2956,35937
2957,35938
2958,3596
2959,3602
2960,3603
2961,3604
2962,3606
2963,3607
2964,3608
2965,3609
2966,3610
2967,3615
2968,3616
2969,3617
2970,3618
2971,3620
2972,3621
2973,3623
2974,3624
2975,3625
2976,362646
2977,3627
2978,362728
2979,362821
2980,3629
2981,3630
2982,3633
2983,3635
2984,3640
2985,3641
2986,3642
2987,364270
2988,3644
2989,3645
2990,3646
2991,3647
2992,3648
2993,3649
2994,3650
2995,3651
2996,3652
2997,3653
2998,3655
2999,3656
3000,3659
3001,36590
3002,36596
3003,36599
3004,3660
3005,36603
3006,36605
3007,36606
3008,36607
3009,36609
3010,36610
3011,36622
3012,36623
3013,3663
3014,366638
3015,366663
3016,3667
3017,3668
3018,3669
3019,3670
3020,3671
3021,3673
3022,367342
3023,367354
3024,3674
3025,36747
3026,3676
3027,3677
3028,36776
3029,36777
3030,3680
3031,3681
3032,3683
3033,3684
3034,3685
3035,3688
3036,3689
3037,368926
3038,3693
3039,3699
3040,3700
3041,3701
3042,3702
3043,3703
3044,3704
3045,3705
3046,3707
3047,3710
3048,371028
3049,3711
3050,3712
3051,3717
3052,371726
3053,371859
3054,3725
3055,3726
3056,372693
3057,3727
3058,372712
3059,372763
3060,3729
3061,3733
3062,3734
3063,3735
3064,3737
3065,3740
3066,3741
3067,374122
3068,37428
3069,3743
3070,3744
3071,3745
3072,37456
3073,3746
3074,3747
3075,374723
3076,3749
3077,37490
3078,3750
3079,3751
3080,375215
3081,375220
3082,375249
3083,375252
3084,375255
3085,375272
3086,375274
3087,375278
3088,3754
3089,3755
3090,37564
3091,37565
3092,3758
3093,3760
3094,3761
3095,3764
3096,37656
3097,376580
3098,3766
3099,376710
3100,376798
3101,37690
3102,3776
3103,3779
3104,3781
3105,37818
3106,3782
3107,3784
3108,378412
3109,378414
3110,3792
3111,379240
3112,379279
3113,379297
3114,3796
3115,3798
3116,379951
3117,3801
3118,380129
3119,3803
3120,3804
3121,3805
3122,3807
3123,3808
3124,3812
3125,381272
3126,3813
3127,3814
3128,3817
3129,3818
3130,38190
3131,3820
3132,38208
3133,3821
3134,3822
3135,3824
3136,3826
3137,3827
3138,3828
3139,3833
3140,3835
3141,38352
3142,3841
3143,38411
3144,38412
3145,3846
3146,384659
3147,3847
3148,3851
3149,3853
3150,3860
3151,386106
3152,386183
3153,386239
3154,3863
3155,3864
3156,386449
3157,3865
3158,3866
3159,3867
3160,387127
3161,38727
3162,387291
3163,38730
3164,387526
3165,387527
3166,3877
3167,38784
3168,38789
3169,3879
3170,3880
3171,3881
3172,3882
3173,38820
3174,388295
3175,3883
3176,388302
3177,3884
3178,38843
3179,38844
3180,38845
3181,38846
3182,38847
3183,38848
3184,3885
3185,388580
3186,38862
3187,38868
3188,38869
3189,3887
3190,38871
3191,38872
3192,38873
3193,3888
3194,3892
3195,3893
3196,3894
3197,389499
3198,3896
3199,3897
3200,3898
3201,3899
3202,3904
3203,390501
3204,3906
3205,390699
3206,390710
3207,3913
3208,39130
3209,3914
3210,3915
3211,39168
3212,39169
3213,3917
3214,39170
3215,39171
3216,39172
3217,39173
3218,39174
3219,39176
3220,39177
3221,39197
3222,3921
3223,39249
3224,3925
3225,39251
3226,39257
3227,392642
3228,392646
3229,392704
3230,39271
3231,392747
3232,3928
3233,3929
3234,3931
3235,3932
3236,39324
3237,39329
3238,39330
3239,39338
3240,3934
3241,39347
3242,39348
3243,39350
3244,39352
3245,39353
3246,39358
3247,393608
3248,39367
3249,39388
3250,3939
3251,39414
3252,3942
3253,39500
3254,39501
3255,39502
3256,39509
3257,39517
3258,39519
3259,39528
3260,395280
3261,39529
3262,39534
3263,39538
3264,3954
3265,3956
3266,3958
3267,39584
3268,39613
3269,3963
3270,396367
3271,396489
3272,3971
3273,397169
3274,397177
3275,397188
3276,3973
3277,397402
3278,397404
3279,397632
3280,397648
3281,397652
3282,3977
3283,3980
3284,3982
3285,398295
3286,3983
3287,3984
3288,39847
3289,39848
3290,3985
3291,3987
3292,39879
3293,3988
3294,3990
3295,3991
3296,3995
3297,3996
3298,3997
3299,39979
3300,3998
3301,39983
3302,39987
3303,3999
3304,39992
3305,39993
3306,39994
3307,39996
3308,39998
3309,4000
3310,40008
3311,4001
3312,40017
3313,4002
3314,40029
3315,40030
3316,4004
3317,4005
3318,4006
3319,4007
3320,4011
3321,4012
3322,4014
3323,4015
3324,4018
3325,401898
3326,4019
3327,4020
3328,4022
3329,4023
3330,4024
3331,4025
3332,4027
3333,4028
3334,4030
3335,403099
3336,403110
3337,403114
3338,403115
3339,4033
3340,40336
3341,4034
3342,4036
3343,403665
3344,403666
3345,403667
3346,4037
3347,4038
3348,4039
3349,4040
3350,4041
3351,4042
3352,4043
3353,4044
3354,4045
3355,4046
3356,404691
3357,4047
3358,4048
3359,4050
3360,4051
3361,4052
3362,4053
3363,405316
3364,405319
3365,405321
3366,4054
3367,40548
3368,4055
3369,40550
3370,40551
3371,40552
3372,4056
3373,40568
3374,4057
3375,40573
3376,405757
3377,4058
3378,40588
3379,40589
3380,4059
3381,40685
3382,4069
3383,40698
3384,4070
3385,4071
3386,4072
3387,4073
3388,4074
3389,40749
3390,4076
3391,4078
3392,40787
3393,4079
3394,4081
3395,4082
3396,4083
3397,4084
3398,4085
3399,40867
3400,40869
3401,40886
3402,40888
3403,40890
3404,40898
3405,4090
3406,40902
3407,40906
3408,40909
3409,40917
3410,40919
3411,40921
3412,40922
3413,409281
3414,40948
3415,40949
3416,40958
3417,4097
3418,4100
3419,4101
3420,4107
3421,4111
3422,4112
3423,4113
3424,4118
3425,4119
3426,4120
3427,41225
3428,41227
3429,41228
3430,41229
3431,41230
3432,4128
3433,413251
3434,413276
3435,413301
3436,413302
3437,4136
3438,413686
3439,4137
3440,41377
3441,4138
3442,41387
3443,41389
3444,4139
3445,41390
3446,4143
3447,4144
3448,4145
3449,4146
3450,41469
3451,4147
3452,41479
3453,41485
3454,41486
3455,4149
3456,41491
3457,41492
3458,41495
3459,41496
3460,41503
3461,41522
3462,41537
3463,41549
3464,41550
3465,41568
3466,41574
3467,41589
3468,416102
3469,416185
3470,41622
3471,41623
3472,41629
3473,416296
3474,4163
3475,4164
3476,41642
3477,417012
3478,417013
3479,4173
3480,417315
3481,41768
3482,41773
3483,41775
3484,41776
3485,41787
3486,41789
3487,4180
3488,4181
3489,4182
3490,418274
3491,418279
3492,4183
3493,4184
3494,4185
3495,41867
3496,4190
3497,41934
3498,41937
3499,41938
3500,41943
3501,41944
3502,41945
3503,41946
3504,41947
3505,41964
3506,41972
3507,4199
3508,41993
3509,41994
3510,4200
3511,4201
3512,4202
3513,4203
3514,4204
3515,4205
3516,4206
3517,4209
3518,4210
3519,4216
3520,4217
3521,4219
3522,421921
3523,42195
3524,42196
3525,4220
3526,42216
3527,42219
3528,42226
3529,42228
3530,42229
3531,422313
3532,4231
3533,4232
3534,4233
3535,423302
3536,42333
3537,42336
3538,42337
3539,42345
3540,4235
3541,4236
3542,4239
3543,424428
3544,424520
3545,424551
3546,424555
3547,424565
3548,424566
3549,424573
3550,425151
3551,425828
3552,425908
3553,426106
3554,42627
3555,4264
3556,4265
3557,4268
3558,4269
3559,4270
3560,427154
3561,427217
3562,427218
3563,4274
3564,4275
3565,427802
3566,427808
3567,427810
3568,4281
3569,428268
3570,4283
3571,4285
3572,4286
3573,4289
3574,4290
3575,4292
3576,429266
3577,4294
3578,429495
3579,429496
3580,429499
3581,4295
3582,429500
3583,429507
3584,429528
3585,429529
3586,429560
3587,429696
3588,429699
3589,429701
3590,429712
3591,4298
3592,4305
3593,4306
3594,4307
3595,43070
3596,4309
3597,430989
3598,43166
3599,43170
3600,43171
3601,43174
3602,4319
3603,43195
3604,43233
3605,4324
3606,432447
3607,4325
3608,432674
3609,4328
3610,4329
3611,4335
3612,43363
3613,43364
3614,43365
3615,43366
3616,434060
3617,43449
3618,4345
3619,4346
3620,43460
3621,43461
3622,43462
3623,434641
3624,43486
3625,43492
3626,43493
3627,43521
3628,43522
3629,43523
3630,43525
3631,43526
3632,43535
3633,43543
3634,43574
3635,435763
3636,435764
3637,4360
3638,4363
3639,4364
3640,4365
3641,436500
3642,43690
3643,43707
3644,43708
3645,43710
3646,43718
3647,43722
3648,43724
3649,43725
3650,43728
3651,4374
3652,4375
3653,4377
3654,4378
3655,4381
3656,4382
3657,43850
3658,43852
3659,43853
3660,43857
3661,43860
3662,43863
3663,43864
3664,43868
3665,43873
3666,43890
3667,43891
3668,43894
3669,4390
3670,43908
3671,4391
3672,439142
3673,4392
3674,4395
3675,4397
3676,4398
3677,439901
3678,439908
3679,439927
3680,439928
3681,439929
3682,4400
3683,4401
3684,4402
3685,4403
3686,4410
3687,4415
3688,441548
3689,441552
3690,4418
3691,442491
3692,4429
3693,4430
3694,4432
3695,4437
3696,4439
3697,4441
3698,4442
3699,4443
3700,4447
3701,4449
3702,445234
3703,4454
3704,4455
3705,4456
3706,4459
3707,4460
3708,446121
3709,446348
3710,4464
3711,4465
3712,4473
3713,4476
3714,447676
3715,4477
3716,4479
3717,44947
3718,4496
3719,4497
3720,4498
3721,44985
3722,44986
3723,44987
3724,44988
3725,44989
3726,450024
3727,450034
3728,450035
3729,450040
3730,450273
3731,450288
3732,4504
3733,4505
3734,4512
3735,4513
3736,451700
3737,45171
3738,45178
3739,45183
3740,45184
3741,45188
3742,45190
3743,45193
3744,45194
3745,4520
3746,45207
3747,4521
3748,4527
3749,4528
3750,4530
3751,45314
3752,45319
3753,45324
3754,45325
3755,45371
3756,45372
3757,45385
3758,4539
3759,453958
3760,4541
3761,4543
3762,4546
3763,45463
3764,4547
3765,4549
3766,454933
3767,4550
3768,455430
3769,4557
3770,4558
3771,4564
3772,4565
3773,4567
3774,45678
3775,45679
3776,4568
3777,4569
3778,4571
3779,4572
3780,457243
3781,4575
3782,4577
3783,4581
3784,458136
3785,4583
3786,45834
3787,458351
3788,458353
3789,45843
3790,458530
3791,458531
3792,458695
3793,458696
3794,45894
3795,45895
3796,45902
3797,459060
3798,459110
3799,459148
3800,459167
3801,459595
3802,459596
3803,459628
3804,4605
3805,4609
3806,46097
3807,46098
3808,4610
3809,46108
3810,46111
3811,46112
3812,4613
3813,4614
3814,46147
3815,4615
3816,461634
3817,4618
3818,4619
3819,4622
3820,46220
3821,462386
3822,462473
3823,462475
3824,462485
3825,462523
3826,4626
3827,462690
3828,4627
3829,4628
3830,462879
3831,4629
3832,4630
3833,4631
3834,46347
3835,46366
3836,46367
3837,4637
3838,4638
3839,463880
3840,4639
3841,46394
3842,4640
3843,464023
3844,4641
3845,46415
3846,46416
3847,46417
3848,4642
3849,4643
3850,4645
3851,4647
3852,4650
3853,4652
3854,4653
3855,4654
3856,4660
3857,46611
3858,466205
3859,466223
3860,466224
3861,4665
3862,4667
3863,4668
3864,4671
3865,4672
3866,467334
3867,467335
3868,4674
3869,4675
3870,4677
3871,467743
3872,4678
3873,46786
3874,4679
3875,468147
3876,468156
3877,468162
3878,4682
3879,4683
3880,4684
3881,4685
3882,4688
3883,46944
3884,46945
3885,46960
3886,46961
3887,46968
3888,46970
3889,46977
3890,46979
3891,46984
3892,46985
3893,46988
3894,469924
3895,469936
3896,469944
3897,46995
3898,469955
3899,46996
3900,4703
3901,470567
3902,470568
3903,47080
3904,47081
3905,47082
3906,47083
3907,47085
3908,47096
3909,47097
3910,4710
3911,47100
3912,47101
3913,4711
3914,4713
3915,4719
3916,4721
3917,4722
3918,472369
3919,4724
3920,47247
3921,4725
3922,4729
3923,473045
3924,4731
3925,4732
3926,4733
3927,4734
3928,4739
3929,4740
3930,4741
3931,4747
3932,476039
3933,47605
3934,476207
3935,476944
3936,477017
3937,477046
3938,477065
3939,477101
3940,477111
3941,477113
3942,477864
3943,478035
3944,478036
3945,478038
3946,478951
3947,478958
3948,47964
3949,48031
3950,48032
3951,48037
3952,48041
3953,48042
3954,480422
3955,48052
3956,48101
3957,48110
3958,48118
3959,48119
3960,48130
3961,48131
3962,48233
3963,48239
3964,482477
3965,482937
3966,482942
3967,482945
3968,482947
3969,483143
3970,483231
3971,483232
3972,48385
3973,48386
3974,484171
3975,48522
3976,48523
3977,485725
3978,485821
3979,485822
3980,485823
3981,486047
3982,486053
3983,486059
3984,486070
3985,486071
3986,486073
3987,486075
3988,486076
3989,486078
3990,486084
3991,486085
3992,486087
3993,486089
3994,486092
3995,48731
3996,48732
3997,487684
3998,488216
3999,489013
4000,489017
4001,489020
4002,489021
4003,489022
4004,489023
4005,489024
4006,489313
4007,490007
4008,49035
4009,49036
4010,49170
4011,49188
4012,492004
4013,49212
4014,49215
4015,49216
4016,49220
4017,49225
4018,49274
4019,49314
4020,49317
4021,49390
4022,494576
4023,49464
4024,49493
4025,49511
4026,49518
4027,49541
4028,49551
4029,49559
4030,49562
4031,49563
4032,49576
4033,49577
4034,49606
4035,49647
4036,49656
4037,49657
4038,49662
4039,496686
4040,49669
4041,49674
4042,49716
4043,49717
4044,49743
4045,49747
4046,497764
4047,49785
4048,49796
4049,49797
4050,49800
4051,49801
4052,49815
4053,49818
4054,49825
4055,49827
4056,49828
4057,49840
4058,49852
4059,49986
4060,49987
4061,49988
4062,49990
4063,49992
4064,499988
4065,500452
4066,50110
4067,50126
4068,50152
4069,50173
4070,50174
4071,50225
4072,50230
4073,50241
4074,502527
4075,502528
4076,502752
4077,502757
4078,502759
4079,50278
4080,50304
4081,50346
4082,50362
4083,504044
4084,50451
4085,50460
4086,50465
4087,50507
4088,507442
4089,50765
4090,50809
4091,50810
4092,50864
4093,508957
4094,508996
4095,509012
4096,50992
4097,510735
4098,51088
4099,51089
4100,511494
4101,511502
4102,511538
4103,511544
4104,51238
4105,51239
4106,51240
4107,51255
4108,512623
4109,51276
4110,51377
4111,51383
4112,51428
4113,51466
4114,51474
4115,51475
4116,51502
4117,515877
4118,516071
4119,516546
4120,516551
4121,518704
4122,519208
4123,519515
4124,520842
4125,52148
4126,522534
4127,52291
4128,52294
4129,52455
4130,52456
4131,52470
4132,52471
4133,52477
4134,52502
4135,52521
4136,52523
4137,526192
4138,527508
4139,52841
4140,52847
4141,52851
4142,52854
4143,52858
4144,52860
4145,52862
4146,53051
4147,53158
4148,53159
4149,53164
4150,53173
4151,53178
4152,533031
4153,53586
4154,53625
4155,53718
4156,53719
4157,53736
4158,53747
4159,53751
4160,538263
4161,53828
4162,53829
4163,538303
4164,538304
4165,538325
4166,538345
4167,53845
4168,53846
4169,53851
4170,53853
4171,53862
4172,53864
4173,53866
4174,53872
4175,53873
4176,53876
4177,53882
4178,53883
4179,53887
4180,53888
4181,53890
4182,53892
4183,53897
4184,539024
4185,53905
4186,53911
4187,53922
4188,53925
4189,53927
4190,53933
4191,539895
4192,54223
4193,54240
4194,542674
4195,543392
4196,543981
4197,54464
4198,54476
4199,54477
4200,545644
4201,54672
4202,546995
4203,54711
4204,54755
4205,54778
4206,54795
4207,54796
4208,54801
4209,54804
4210,54806
4211,54829
4212,54873
4213,54874
4214,54877
4215,548852
4216,548853
4217,54891
4218,549434
4219,549704
4220,549705
4221,55182
4222,55184
4223,55185
4224,55188
4225,553462
4226,553485
4227,55360
4228,55367
4229,55372
4230,55386
4231,55463
4232,55474
4233,55482
4234,55483
4235,554831
4236,554832
4237,554837
4238,55512
4239,55513
4240,55575
4241,55597
4242,55634
4243,55635
4244,556505
4245,556509
4246,55669
4247,55670
4248,55671
4249,556906
4250,557013
4251,558542
4252,558547
4253,55955
4254,55956
4255,55957
4256,55958
4257,55961
4258,55962
4259,56016
4260,56018
4261,56031
4262,56033
4263,56036
4264,56060
4265,56063
4266,561305
4267,56196
4268,564598
4269,56522
4270,56523
4271,566045
4272,56627
4273,56628
4274,56630
4275,56632
4276,56889
4277,569834
4278,56997
4279,56998
4280,57008
4281,57009
4282,570480
4283,57115
4284,57121
4285,57122
4286,571920
4287,57203
4288,572236
4289,573716
4290,574477
4291,57522
4292,57577
4293,57653
4294,57654
4295,577036
4296,577683
4297,578534
4298,578535
4299,578536
4300,57912
4301,57917
4302,57918
4303,57919
4304,57926
4305,57933
4306,57937
4307,57940
4308,57943
4309,58019
4310,58023
4311,58024
4312,58032
4313,58033
4314,580341
4315,58039
4316,58040
4317,58043
4318,58046
4319,58048
4320,58168
4321,58227
4322,58228
4323,58331
4324,58381
4325,58385
4326,58412
4327,58416
4328,58420
4329,58445
4330,58461
4331,58507
4332,585483
4333,58643
4334,58656
4335,58659
4336,58660
4337,587578
4338,587579
4339,587580
4340,587581
4341,587658
4342,587664
4343,588669
4344,58871
4345,58875
4346,58880
4347,58882
4348,58889
4349,58890
4350,58891
4351,58893
4352,58933
4353,58944
4354,58949
4355,590021
4356,590031
4357,590033
4358,59015
4359,59016
4360,59020
4361,59039
4362,59040
4363,59044
4364,59045
4365,59066
4366,59067
4367,59070
4368,59167
4369,59169
4370,59170
4371,59171
4372,592599
4373,59293
4374,593754
4375,59430
4376,59588
4377,59595
4378,59626
4379,59634
4380,59683
4381,597304
4382,597318
4383,597388
4384,597391
4385,597401
4386,59788
4387,59895
4388,59977
4389,59981
4390,59986
4391,60041
4392,60042
4393,60043
4394,60050
4395,60055
4396,60057
4397,60077
4398,60092
4399,60093
4400,60120
4401,60418
4402,60423
4403,60437
4404,610157
4405,61132
4406,61133
4407,61141
4408,61222
4409,61309
4410,61310
4411,61508
4412,61589
4413,616994
4414,62097
4415,62111
4416,62330
4417,62340
4418,62342
4419,627158
4420,627609
4421,62858
4422,62865
4423,62890
4424,629714
4425,629715
4426,629768
4427,63063
4428,63065
4429,63066
4430,63083
4431,63084
4432,63350
4433,63351
4434,63357
4435,63459
4436,63461
4437,63467
4438,63479
4439,63501
4440,637889
4441,63800
4442,63801
4443,63802
4444,63803
4445,63804
4446,63812
4447,638625
4448,638922
4449,638923
4450,64025
4451,64034
4452,64040
4453,640630
4454,640652
4455,64117
4456,64118
4457,642532
4458,642802
4459,642903
4460,644748
4461,64475
4462,64480
4463,64575
4464,64580
4465,64585
4466,64596
4467,647088
4468,647262
4469,648857
4470,648858
4471,649195
4472,649763
4473,65009
4474,650306
4475,653096
4476,65352
4477,65409
4478,655181
4479,655516
4480,65556
4481,65557
4482,65558
4483,65559
4484,65560
4485,65561
4486,655924
4487,65772
4488,658448
4489,65947
4490,65979
4491,66013
4492,66014
4493,66017
4494,66027
4495,660624
4496,66093
4497,66096
4498,66172
4499,66207
4500,66230
4501,662901
4502,66379
4503,66647
4504,66659
4505,66663
4506,66667
4507,66669
4508,66670
4509,66671
4510,66672
4511,668907
4512,668910
4513,669488
4514,669631
4515,669713
4516,670377
4517,670378
4518,671254
4519,671526
4520,673928
4521,673929
4522,676073
4523,67937
4524,680190
4525,681286
4526,681400
4527,681403
4528,681405
4529,681408
4530,681412
4531,681416
4532,681418
4533,681426
4534,681427
4535,681430
4536,681431
4537,681432
4538,681436
4539,681437
4540,681438
4541,681439
4542,681442
4543,681448
4544,681459
4545,681460
4546,681462
4547,681463
4548,681464
4549,681466
4550,681473
4551,681474
4552,681476
4553,681478
4554,681479
4555,681480
4556,681481
4557,681483
4558,681484
4559,681486
4560,681488
4561,681489
4562,681493
4563,681494
4564,681495
4565,681502
4566,681506
4567,682665
4568,684742
4569,68526
4570,68527
4571,68543
4572,68549
4573,68553
4574,68554
4575,688039
4576,68865
4577,69008
4578,690340
4579,69062
4580,69067
4581,69108
4582,69111
4583,69114
4584,69116
4585,69117
4586,69118
4587,69119
4588,692141
4589,69266
4590,693335
4591,693341
4592,69374
4593,69375
4594,693762
4595,693763
4596,693765
4597,693768
4598,69380
4599,69381
4600,69384
4601,69388
4602,69390
4603,69391
4604,69414
4605,694344
4606,69450
4607,69451
4608,69453
4609,69461
4610,69848
4611,69867
4612,698833
4613,699056
4614,69911
4615,69923
4616,702244
4617,703251
4618,703253
4619,703530
4620,703537
4621,703538
4622,703540
4623,70869
4624,709053
4625,71187
4626,71232
4627,71239
4628,71243
4629,71250
4630,71251
4631,71274
4632,71275
4633,71402
4634,714442
4635,714451
4636,714454
4637,714458
4638,714465
4639,714492
4640,714499
4641,714502
4642,714503
4643,71610
4644,71641
4645,71654
4646,717058
4647,72025
4648,720621
4649,72152
4650,72165
4651,72166
4652,72167
4653,72171
4654,721788
4655,721789
4656,721808
4657,721813
4658,72332
