name,rank,id
Chenopodium quinoa,species,63459
Chenopodium,genus,3558
Solanum melongena,species,4111
Lycium barbarum,species,112863
Lycium,genus,24646
Medicago truncatula,species,3880
Medicago,genus,3877
Acer,genus,4022
Sapindaceae,family,23672
Angelica keiskei,species,357850
Angelica,genus,40948
Tinospora crispa,species,285591
Ranunculales,order,41768
Menispermaceae,family,3455
Tinospora,genus,41789
Citrus sinensis,species,2711
Gossypium hirsutum,species,3635
Gossypium,genus,3633
Selaginella tamariscina,species,137178
Lycopodiopsida,class,1521260
Selaginellales,order,3244
Selaginellaceae,family,3245
Selaginella,genus,3246
Celtis occidentalis,species,228587
Cannabaceae,family,3481
Celtis,genus,13408
Achyranthes bidentata,species,384659
Achyranthes,genus,169205
Selaginella uncinata,species,307165
Jungermannia,genus,3202
Jungermanniopsida,class,186771
Jungermanniales,order,3199
Jungermanniaceae,family,3201
Piper nigrum,species,13216
Piperales,order,16736
Piperaceae,family,16739
Piper,genus,13215
Piper betle,species,13217
Piper auritum,species,130385
Piper methysticum,species,130404
Piper sarmentosum,species,405319
Amaranthus cruentus,species,117272
Celosia argentea,species,46112
Celosia,genus,46111
Bauhinia tomentosa,species,204518
Bauhinia,genus,3805
Dendrocnide moroides,species,1842752
Urticaceae,family,3499
Dendrocnide,genus,647262
Kerria japonica,species,120385
Kerria,genus,120384
Alchemilla alpina,species,57943
Alchemilla,genus,23138
Doronicum,genus,98683
Tradescantia virginiana,species,59016
Commelinales,order,4739
Commelinaceae,family,4740
Tradescantia,genus,4741
Ruscus aculeatus,species,59067
Asparagales,order,73496
Asparagaceae,family,40552
Ruscus,genus,59066
Aruncus dioicus,species,32220
Aruncus,genus,23143
Anthriscus cerefolium,species,40888
Anthriscus,genus,40886
Phlox adsurgens,species,1570894
Polemoniaceae,family,24584
Phlox,genus,40749
Parietaria judaica,species,33127
Parietaria,genus,13186
Brassica nigra,species,3710
Brassica,genus,3705
Alnus firma,species,109059
Fagales,order,3502
Betulaceae,family,3514
Alnus,genus,3515
Alnus hirsuta,species,109061
Alnus japonica,species,109063
Alnus hirsuta var. sibirica,varietas,253220
Selenicereus,genus,83431
Cactaceae,family,3593
Tapirira guianensis,species,397177
Anacardiaceae,family,4011
Tapirira,genus,43857
Zea mays,species,4577
Andropogonodae,no rank,1648033
Zea,genus,4575
Drypetes,genus,20145
Putranjivaceae,family,233879
Luehea seemannii,species,45194
Luehea,genus,45193
Heisteria concinna,species,50126
Santalales,order,41947
Erythropalaceae,family,441548
Heisteria,genus,39197
Psychotria poeppigiana,species,58385
Faramea occidentalis,species,60050
Faramea,genus,58420
Ocotea,genus,63801
Laurales,order,3432
Lauraceae,family,3433
Psychotria chagrensis,species,77872
Psychotria horizontalis,species,77879
Carapichea ipecacuanha,species,77880
Carapichea,genus,720621
Psychotria limonensis,species,77882
Psychotria marginata,species,77886
Psychotria micrantha,species,77887
Palicourea pubescens,species,77892
Psychotria racemosa,species,77893
Psychotria tenuifolia,species,77900
Psychotria graciliflora,species,77903
Cavanillesia platanifolia,species,93751
Cavanillesia,genus,93750
Hura crepitans,species,99294
Hura,genus,99293
Swartzia simplex,species,100171
Swartzia,genus,53925
Simarouba amara,species,101569
Simaroubaceae,family,23808
Simarouba,genus,43728
Cassipourea elliptica,species,106620
Rhizophoraceae,family,40029
Cassipourea,genus,61133
Lacistema aggregatum,species,112829
Lacistemataceae,family,112827
Lacistema,genus,112828
Platypodium elegans,species,115002
Platypodium,genus,115001
Piper arboreum,species,130381
Piper peltatum,species,130409
Piper reticulatum,species,130413
Guarea guidonia,species,155637
Meliaceae,family,43707
Guarea,genus,43908
Garcinia intermedia,species,156481
Clusiaceae,family,55961
Garcinia,genus,58227
Calophyllum longifolium,species,158928
Calophyllaceae,family,703253
Calophyllum,genus,73121
Inga mucuna,species,3090009
Inga,genus,162809
Prioria copaifera,species,162888
Prioria,genus,162887
Psychotria grandis,species,189164
Ceiba pentandra,species,193163
Ceiba,genus,93752
Brosimum alicastrum,species,194253
Brosimum,genus,194252
Capparidastrum frondosum,species,202773
Capparaceae,family,301453
Capparidastrum,genus,1125008
Randia armata,species,203050
Randia,genus,58445
