file_usi,MassIVE,Filename,Category,node_id
mzspec:MSV000095003:P4_B1_370,MSV000095003,P4_B1_370.mzML,Root > Personal Care > Hair Care > Shampoo & Conditioner > Shampoo,Shampoo
mzspec:MSV000095003:P4_B2_724,MSV000095003,P4_B2_724.mzML,Root > Personal Care > Cosmetics > Makeup > Eye Makeup > Mascara,Mascara
mzspec:MSV000095003:P4_B3_718,MSV000095003,P4_B3_718.mzML,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser,Facial Cleanser
mzspec:MSV000095003:P4_B4_657,MSV000095003,P4_B4_657.mzML,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser,Facial Cleanser
mzspec:MSV000095003:P4_B5_719,MSV000095003,P4_B5_719.mzML,Root > Personal Care > Health Care > Spot Corrector,Spot Corrector
mzspec:MSV000095003:P4_B6_700,MSV000095003,P4_B6_700.mzML,Root > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels,Skin Care Masks & Peels
mzspec:MSV000095003:P4_B7_689,MSV000095003,P4_B7_689.mzML,Root > Personal Care > Cosmetics > Bath & Body > Moisturizer > Eye cream,Eye cream
mzspec:MSV000095003:P4_B8_712,MSV000095003,P4_B8_712.mzML,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser,Facial Cleanser
mzspec:MSV000095003:P4_B9_681,MSV000095003,P4_B9_681.mzML,Root > Personal Care > Cosmetics > Makeup > Lipstick,Lipstick
mzspec:MSV000095003:P4_C10_416,MSV000095003,P4_C10_416.mzML,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer,Lotion & Moisturizer
mzspec:MSV000095003:P4_C11_445,MSV000095003,P4_C11_445.mzML,Root > Personal Care > Cosmetics > Bath & Body > Body Wash,Body Wash
mzspec:MSV000095003:P4_C12_421,MSV000095003,P4_C12_421.mzML,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer,Lotion & Moisturizer
mzspec:MSV000095003:P4_C1_672,MSV000095003,P4_C1_672.mzML,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer,Lotion & Moisturizer
mzspec:MSV000095003:P4_C2_695,MSV000095003,P4_C2_695.mzML,Root > Personal Care > Cosmetics > Makeup > Lipstick,Lipstick
mzspec:MSV000095003:P4_C3_673,MSV000095003,P4_C3_673.mzML,Root > Personal Care > Cosmetics > Makeup > Lipstick,Lipstick
mzspec:MSV000095003:P4_C4_686,MSV000095003,P4_C4_686.mzML,Root > Personal Care > Cosmetics > Makeup > Lipstick,Lipstick
mzspec:MSV000095003:P4_C5_726,MSV000095003,P4_C5_726.mzML,Root > Personal Care > Cosmetics > Makeup > Eye Makeup > Mascara,Mascara
mzspec:MSV000095003:P4_C6_676,MSV000095003,P4_C6_676.mzML,Root > Personal Care > Cosmetics > Makeup > Face Makeup > Foundations & Concealers,Foundations & Concealers
mzspec:MSV000095003:P4_C7_671,MSV000095003,P4_C7_671.mzML,Root > Personal Care > Cosmetics > Skin Care > Makeup Removers,Makeup Removers
mzspec:MSV000095003:P4_C8_703,MSV000095003,P4_C8_703.mzML,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer,Lotion & Moisturizer
mzspec:MSV000095003:P4_C9_708,MSV000095003,P4_C9_708.mzML,Root > Personal Care > Cosmetics > Makeup > Lipstick,Lipstick
mzspec:MSV000095003:P4_D10_610,MSV000095003,P4_D10_610.mzML,Root > Personal Care > Hair Care > Shampoo & Conditioner > Shampoo,Shampoo
mzspec:MSV000095003:P4_D11_606,MSV000095003,P4_D11_606.mzML,Root > Personal Care > Cosmetics > Makeup > Lip balm,Lip balm
mzspec:MSV000095003:P4_D12_602,MSV000095003,P4_D12_602.mzML,Root > Personal Care > Cosmetics > Skin Care > After sun lotion,After sun lotion
mzspec:MSV000095003:P4_D1_425,MSV000095003,P4_D1_425.mzML,Root > Personal Care > Cosmetics > Skin Care,Skin Care
mzspec:MSV000095003:P4_D2_444,MSV000095003,P4_D2_444.mzML,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer,Lotion & Moisturizer
mzspec:MSV000095003:P4_D3_419,MSV000095003,P4_D3_419.mzML,Root > Personal Care > Cosmetics > Bath & Body > Body Wash,Body Wash
mzspec:MSV000095003:P4_D4_400,MSV000095003,P4_D4_400.mzML,Root > Personal Care > Hair Care > Hair Repair > Hair Oil,Hair Oil
mzspec:MSV000095003:P4_D5_393,MSV000095003,P4_D5_393.mzML,Root > Personal Care > Cosmetics > Skin Care > Toners & Astringents,Toners & Astringents
mzspec:MSV000095003:P4_D6_408,MSV000095003,P4_D6_408.mzML,Root > Personal Care > Cosmetics > Bath & Body > Body Wash,Body Wash
mzspec:MSV000095003:P4_D7_424,MSV000095003,P4_D7_424.mzML,Root > Personal Care > Cosmetics > Bath & Body > Body Wash > Foaming Bath,Foaming Bath
mzspec:MSV000095003:P4_D8_558,MSV000095003,P4_D8_558.mzML,Root > Personal Care > Cosmetics > Nail Care > Nail Polish,Nail Polish
mzspec:MSV000095003:P4_D9_605,MSV000095003,P4_D9_605.mzML,Root > Personal Care > Oral Care > Toothpaste,Toothpaste
mzspec:MSV000095003:P4_E10_blank1,MSV000095003,P4_E10_blank1.mzML,Root > Blank > Solvent Blank,Solvent Blank
mzspec:MSV000095003:P4_E11_blank2,MSV000095003,P4_E11_blank2.mzML,Root > Blank > Solvent Blank,Solvent Blank
mzspec:MSV000095003:P4_E12_blank3,MSV000095003,P4_E12_blank3.mzML,Root > Blank > Solvent Blank,Solvent Blank
mzspec:MSV000095003:P4_E1_603,MSV000095003,P4_E1_603.mzML,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer,Lotion & Moisturizer
mzspec:MSV000095003:P4_E2_607,MSV000095003,P4_E2_607.mzML,Root > Personal Care > Cosmetics > Makeup > Lipgloss,Lipgloss
mzspec:MSV000095003:P4_E3_559,MSV000095003,P4_E3_559.mzML,Root > Personal Care > Cosmetics > Makeup > Eye Makeup > Mascara,Mascara
mzspec:MSV000095003:P4_E4_604,MSV000095003,P4_E4_604.mzML,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser,Facial Cleanser
mzspec:MSV000095003:P4_E5_609,MSV000095003,P4_E5_609.mzML,Root > Personal Care > Cosmetics > Bath & Body > Body Wash > Bar Soap,Bar Soap
mzspec:MSV000095003:P4_E6_560,MSV000095003,P4_E6_560.mzML,Root > Personal Care > Cosmetics > Makeup > Eye Makeup > Mascara,Mascara
mzspec:MSV000095003:P4_E7_601,MSV000095003,P4_E7_601.mzML,Root > Personal Care > Cosmetics > Skin Care > Sunscreen,Sunscreen
mzspec:MSV000095003:P4_E8_608,MSV000095003,P4_E8_608.mzML,Root > Personal Care > Cosmetics > Makeup > Lipgloss,Lipgloss
mzspec:MSV000095003:P4_E9_83,MSV000095003,P4_E9_83.mzML,Root > Personal Care > Cosmetics > Skin Care > Sunscreen,Sunscreen
mzspec:MSV000095003:P5_A10_138,MSV000095003,P5_A10_138.mzML,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer,Lotion & Moisturizer
mzspec:MSV000095003:P5_A11_296,MSV000095003,P5_A11_296.mzML,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser,Facial Cleanser
mzspec:MSV000095003:P5_A12_310,MSV000095003,P5_A12_310.mzML,Root > Personal Care > Cosmetics > Perfume & Cologne,Perfume & Cologne
mzspec:MSV000095003:P5_A1_148,MSV000095003,P5_A1_148.mzML,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer,Lotion & Moisturizer
mzspec:MSV000095003:P5_A2_162,MSV000095003,P5_A2_162.mzML,Root > Personal Care > Cosmetics > Perfume & Cologne,Perfume & Cologne
mzspec:MSV000095003:P5_A3_184,MSV000095003,P5_A3_184.mzML,Root > Personal Care > Cosmetics > Bath & Body > Moisturizer,Moisturizer
mzspec:MSV000095003:P5_A4_150,MSV000095003,P5_A4_150.mzML,Root > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels,Skin Care Masks & Peels
mzspec:MSV000095003:P5_A5_149,MSV000095003,P5_A5_149.mzML,Root > Personal Care > Cosmetics > Skin Care > Serum,Serum
mzspec:MSV000095003:P5_A6_161,MSV000095003,P5_A6_161.mzML,Root > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels,Skin Care Masks & Peels
