file_usi,MassIVE,Filename,Category,node_id
mzspec:MSV000095003:P6_C2_108,MSV000095003,P6_C2_108.mzML,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer,Lotion & Moisturizer
mzspec:MSV000095003:P6_C3_91,MSV000095003,P6_C3_91.mzML,Root > Personal Care > Oral Care > Mouthwash,Mouthwash
mzspec:MSV000095003:P6_C4_236,MSV000095003,P6_C4_236.mzML,Root > Personal Care > Hair Care > Shampoo & Conditioner > Shampoo,Shampoo
mzspec:MSV000095003:P6_C5_250,MSV000095003,P6_C5_250.mzML,Root > Personal Care > Cosmetics > Skin Care > Serum,Serum
mzspec:MSV000095003:P6_C6_240,MSV000095003,P6_C6_240.mzML,Root > Personal Care > Hair Care > Hair Styling Products > Cream,Cream
mzspec:MSV000095003:P6_C7_238,MSV000095003,P6_C7_238.mzML,Root > Personal Care > Hair Care > Hair Styling Products > Cream,Cream
mzspec:MSV000095003:P6_C8_72,MSV000095003,P6_C8_72.mzML,Root > Personal Care > Oral Care > Mouthwash,Mouthwash
mzspec:MSV000095003:P6_C9_245,MSV000095003,P6_C9_245.mzML,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer,Lotion & Moisturizer
mzspec:MSV000095003:P6_D10_404,MSV000095003,P6_D10_404.mzML,Root > Personal Care > Cosmetics > Makeup > Lip balm,Lip balm
mzspec:MSV000095003:P6_D12_417,MSV000095003,P6_D12_417.mzML,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer,Lotion & Moisturizer
mzspec:MSV000095003:P6_D1_273,MSV000095003,P6_D1_273.mzML,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer,Lotion & Moisturizer
mzspec:MSV000095003:P6_D2_287,MSV000095003,P6_D2_287.mzML,Root > Personal Care > Hair Care > Hair Styling Products > Cream,Cream
mzspec:MSV000095003:P6_D3_249,MSV000095003,P6_D3_249.mzML,Root > Personal Care > Cosmetics > Bath & Body > Moisturizer,Moisturizer
